concept_id,concept_code,concept_name,vocabulary_id
19115452,563148,Chloroquine 50 MG/ML [Malarivon],RxNorm
41012044,OMOP2210006,Chloroquine 250 MG Oral Tablet [Resochina] Box of 50 by Beragena,RxNorm Extension
35775821,OMOP2777282,Hydroxychloroquine 200 MG Delayed Release Oral Tablet Box of 60 by Bristol Myers Squibb,RxNorm Extension
36212396,1153859,Chloroquine Injectable Product,RxNorm
21076697,OMOP279219,Hydroxychloroquine 200 MG Oral Tablet by Sigma-Tau,RxNorm Extension
40725908,OMOP4731258,Hydroxychloroquine 200 MG Oral Tablet Box of 60 by Phoenix Healthcare Distribution,RxNorm Extension
43290699,OMOP553533,Chloroquine 250 MG Oral Tablet [Chlorquin] Box of 100,RxNorm Extension
43261349,OMOP534420,Hydroxychloroquine 200 MG Oral Tablet Box of 100 by Apotex,RxNorm Extension
21145290,OMOP279220,Hydroxychloroquine 200 MG Oral Tablet by Alliance,RxNorm Extension
21126665,OMOP301663,1 ML Hydroxychloroquine 40 MG/ML Oral Solution,RxNorm Extension
40930659,OMOP2128621,Chloroquine 250 MG Oral Tablet Box of 40,RxNorm Extension
40241960,1116759,chloroquine phosphate 500 MG [Aralen Phosphate],RxNorm
42935563,OMOP4662273,Hydroxychloroquine 200 MG [OXIKLORIN],RxNorm Extension
40241954,1119426,chloroquine phosphate 250 MG / proguanil hydrochloride 100 MG Oral Tablet,RxNorm
40718408,OMOP4739265,1 ML Hydroxychloroquine 80 MG/ML Oral Suspension,RxNorm Extension
40876298,OMOP2074260,Hydroxychloroquine 200 MG Delayed Release Oral Tablet [Quensyl] Box of 30,RxNorm Extension
19109256,438457,Chloroquine 24.3 MG/ML,RxNorm
40879593,OMOP2077555,Chloroquine 81 MG Oral Tablet [Resochin] Box of 30,RxNorm Extension
43256011,OMOP534413,Hydroxychloroquine 200 MG Oral Tablet by Apotex,RxNorm Extension
40020422,371405,Chloroquine Injectable Solution,RxNorm
36212398,1153861,Chloroquine Oral Product,RxNorm
40734813,OMOP4722340,Chloroquine 40 MG/ML [Nivaquine],RxNorm Extension
35775822,OMOP2777283,Hydroxychloroquine 200 MG Delayed Release Oral Tablet by Phoenix Labs,RxNorm Extension
43145998,OMOP449597,Chloroquine 100 MG Oral Tablet Box of 100,RxNorm Extension
41188592,OMOP2386554,Hydroxychloroquine 200 MG Oral Tablet [Plaquenil] Box of 30,RxNorm Extension
40734623,OMOP4722343,Chloroquine 13.6 MG/ML [Nivaquine],RxNorm Extension
41230986,OMOP2428948,Chloroquine 250 MG Oral Tablet [Resochin] Box of 50 by Bayer,RxNorm Extension
40020423,91840,Chloroquine Injectable Solution [Aralen Hydrochloride],RxNorm
41168510,OMOP2366472,Chloroquine 250 MG Oral Tablet [Resochina] Box of 20 by Beragena,RxNorm Extension
41035322,OMOP2233284,Chloroquine 125 MG Oral Tablet [Chlorochin] Box of 40,RxNorm Extension
21056949,OMOP279241,Hydroxychloroquine 200 MG Oral Tablet [Quinoric] by Bristol Myers Squibb,RxNorm Extension
40868448,OMOP2066410,Chloroquine 81 MG Oral Tablet Box of 30,RxNorm Extension
21052417,OMOP362224,Chloroquine 250 MG Oral Tablet Box of 100,RxNorm Extension
41281634,OMOP2479596,Hydroxychloroquine 200 MG Delayed Release Oral Tablet [Plaquenil] Box of 100,RxNorm Extension
21056951,OMOP279283,Hydroxychloroquine 7.2 MG/ML,RxNorm Extension
43283091,OMOP534425,Hydroxychloroquine 200 MG Oral Tablet Box of 100 by Sanofi,RxNorm Extension
40020381,371404,Chloroquine / Primaquine Oral Tablet,RxNorm
43296077,OMOP553532,Chloroquine 250 MG Oral Tablet [Chlorquin],RxNorm Extension
42935557,OMOP4662267,Hydroxychloroquine 200 MG [Chlorquin],RxNorm Extension
41324212,OMOP2522174,Chloroquine 250 MG Oral Tablet [Chlorochin] Box of 50 by Berlin-Chemie,RxNorm Extension
41180757,OMOP2378719,Chloroquine 250 MG Oral Tablet Box of 50,RxNorm Extension
41094770,OMOP2292732,Hydroxychloroquine 200 MG Delayed Release Oral Tablet [Quensyl],RxNorm Extension
21145293,OMOP279317,Hydroxychloroquine 80 MG/ML,RxNorm Extension
41229343,OMOP2427305,Hydroxychloroquine 200 MG Delayed Release Oral Tablet [Plaquenil] Box of 100 by Kohlpharma,RxNorm Extension
21086450,OMOP279257,Hydroxychloroquine 15 MG/ML Oral Suspension,RxNorm Extension
41012042,OMOP2210004,Chloroquine 250 MG Oral Tablet [Weimerquin] Box of 100 by Weimer,RxNorm Extension
